"fundoname","tpfundo","descricaofundo","preco","marketcap","dtcarga","p_vp","rentabilidade_mes","ultimo_rendimento","price","percentcharge"
"ALZR11","Fundo Misto: Misto","Alianza Trust Renda Imobiliária","12,21","1,1 B","2023-08-05 13:45:58.373517","1,10","1,99 %","0,83","R$ 117,79","0,73%"
"AAGR11","Fiagro: Indefinido","ASSET BANK AGRONEGÓCIOS FIAGRO IMOBILIARIO","-","-","2023-08-05 13:45:58.323445","N/A","N/A %","N/A","R$ 0,00","0,00%"
"AAZQ11","Fiagro: Indefinido","AZ Quest Sole","5,91","230,6 M","2023-08-05 13:45:58.326832","1,01","0,11 %","0,14","R$ 9,19","0,11%"
"ABCP11","Tijolo: Shoppings","Grand Plaza Shopping","7,84","432,2 M","2023-08-05 13:45:58.328919","0,80","0,58 %","0,50","R$ 73,00","0,68%"
"AEFI11","Fundo Misto: Educacional","FII AESAPAR","-","340,4 M","2023-08-05 13:45:58.333384","1,21","N/A %","1,24","R$ 174,90","0,00%"
"AFCR11","Papel: Papéis","FII AFINVCR","-","-","2023-08-05 13:45:58.336711","N/A","N/A %","N/A","R$ 0,00","0,00%"
"AFHI11","Papel: Papéis","AF INVEST CRI","13,34","290,4 M","2023-08-05 13:45:58.338920","1,01","0,21 %","1,10","R$ 96,78","0,05%"
"AFOF11","Papel: Fundo de Fundos","ALIANZA FOF","-","-","2023-08-05 13:45:58.342931","N/A","N/A %","N/A","R$ 0,00","0,00%"
"AGCX11","Tijolo: Agências de Bancos","FII AG CAIXA","-","1,3 B","2023-08-05 13:45:58.352263","11,40","N/A %","8,50","R$ 1.235,50","0,00%"
"AGRX11","Outros: Outros","Exes Araguaia","-","-","2023-08-05 13:45:58.356558","N/A","1,83 %","N/A","R$ 11,15","0,90%"
"ALMI11","Tijolo: Lajes Corporativas","Torre Almirante","-","225,5 M","2023-08-05 13:45:58.362629","0,36","-1,72 %","0,37","R$ 739,10","0,26%"
"ALMI11B","Outros: Indefinido","FII TORRE AL","-","-","2023-08-05 13:45:58.366405","N/A","N/A %","N/A","R$ 0,00","0,00%"
"ALZC11","Papel: Papéis","FII ALI CRED","-","-","2023-08-05 13:45:58.368723","N/A","N/A %","N/A","R$ 0,00","0,00%"
